PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
32,211,4,Vannankundu,4955,2536,2419,105,59,46,0,0,0
33,211,4,Vellamarichukkatti,1815,866,949,1176,559,617,0,0,0
1,210,5,Achankudi,2028,1029,999,663,333,330,0,0,0
2,210,5,Andavorani,2176,1054,1122,426,210,216,0,0,0
3,210,5,Anjukottai,3116,1565,1551,656,333,323,0,0,0
4,210,5,Arasathur,2655,1323,1332,230,118,112,0,0,0
5,210,5,Arumbur,1922,972,950,159,76,83,0,0,0
6,210,5,Athiyur,1772,912,860,396,205,191,0,0,0
7,210,5,Kadambur,1870,955,915,394,200,194,0,0,0
8,210,5,Kaliyanagari,3155,1584,1571,197,99,98,0,0,0
9,210,5,Kallur,3837,1965,1872,751,389,362,0,0,0
10,210,5,Karankadu,1736,888,848,0,0,0,0,0,0
11,210,5,Karumozhi Sananvayal,1473,747,726,383,201,182,0,0,0
12,210,5,Kattavilagam,1681,897,784,317,163,154,0,0,0
13,210,5,Kattivayal,2551,1301,1250,232,127,105,0,0,0
14,210,5,Kodanur,2376,1178,1198,366,179,187,0,0,0
15,210,5,Kodipangu,1666,828,838,179,93,86,0,0,0
16,210,5,Kookudi,2731,1401,1330,745,366,379,0,0,0
17,210,5,Kulathur,2015,1049,966,316,155,161,1,0,1
18,210,5,Kunjankulam,1992,1074,918,350,199,151,0,0,0
19,210,5,Mangalagudi,2874,1472,1402,318,164,154,0,0,0
20,210,5,Mavur,951,444,507,172,82,90,0,0,0
21,210,5,Mugilthagam,3774,1935,1839,1232,639,593,21,10,11
22,210,5,Mullimunai,2002,1000,1002,1984,990,994,0,0,0
23,210,5,Nagrikathan,1311,653,658,78,42,36,0,0,0
24,210,5,Nambuthalai,8064,4019,4045,655,317,338,0,0,0
25,210,5,Neyvayal,2390,1173,1217,651,326,325,0,0,0
26,210,5,Nilamalagiyamangalam,1169,588,581,164,80,84,0,0,0
27,210,5,Orikottai,925,460,465,209,103,106,0,0,0
28,210,5,Orur,3330,1663,1667,115,55,60,0,0,0
29,210,5,Paganur,1432,722,710,438,216,222,0,0,0
30,210,5,Palangulam,1270,603,667,144,69,75,2,0,2
31,210,5,Panachayal,2121,1089,1032,857,437,420,0,0,0
32,210,5,Pandugudi,2558,1291,1267,413,205,208,0,0,0
33,210,5,Pathanagudi,817,395,422,199,99,100,0,0,0
34,210,5,Periakeeramangalam,3613,1898,1715,579,295,284,0,0,0
35,210,5,Pudupattinam,1614,808,806,347,194,153,0,0,0
36,210,5,Pullakadamban,2035,1034,1001,243,124,119,145,68,77
37,210,5,Sirugambaiyur,1726,889,837,124,62,62,0,0,0
38,210,5,Sirumalaikkottai,1019,497,522,95,49,46,0,0,0
