PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
23,209,11,Pudugudi,1625,849,776,745,389,356,1,1,0
24,209,11,S.Andakkudi,3220,1639,1581,1822,941,881,0,0,0
25,209,11,S.Kavanur,1096,535,561,895,440,455,0,0,0
26,209,11,Soodiyur,1464,720,744,331,156,175,0,0,0
27,209,11,Thaduthalankottai,974,484,490,268,138,130,0,0,0
28,209,11,Thelichathanallur,7120,3655,3465,1049,557,492,5,1,4
29,209,11,Thenpoduvakudi,479,257,222,277,151,126,0,0,0
30,209,11,Thinaikulam,941,474,467,353,177,176,0,0,0
31,209,11,Tholur,1225,644,581,791,427,364,0,0,0
32,209,11,Urakkudi,1111,590,521,809,437,372,0,0,0
33,209,11,Urappuli,2672,1365,1307,513,258,255,0,0,0
34,209,11,Valangudi,1027,517,510,310,161,149,0,0,0
35,209,11,Valimarichan,2075,1051,1024,468,223,245,0,0,0
36,209,11,Vendoni,5237,2694,2543,1579,819,760,66,37,29
37,209,11,Vengalur,1623,813,810,1122,569,553,0,0,0
38,209,11,Venkittankurichi,2375,1156,1219,1055,528,527,0,0,0
39,209,11,Vilathur,1817,904,913,174,86,88,0,0,0
